         225759 function calls (216231 primitive calls) in 6.879 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  136/135    0.021    0.000    8.834    0.065 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\threading.py:323(wait)
    69/68    0.001    0.000    8.325    0.122 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\threading.py:637(wait)
      226    0.001    0.000    1.866    0.008 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\tkinter\__init__.py:1963(__call__)
        2    0.000    0.000    1.786    0.893 C:\Users\corys\source\repos\PcapAnalyzer\main.py:900(toggle_capture)
        1    0.000    0.000    1.786    1.786 C:\Users\corys\source\repos\PcapAnalyzer\main.py:40(stop_capture)
        1    0.001    0.001    1.785    1.785 c:\program files\microsoft visual studio\2022\community\common7\ide\extensions\microsoft\python\core\debugpy\_vendored\pydevd\_pydev_bundle\pydev_monkey.py:1104(__call__)
      144    0.001    0.000    1.293    0.009 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\sessions.py:54(recv)
       72    0.000    0.000    0.925    0.013 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\supersocket.py:198(recv)
       72    0.000    0.000    0.835    0.012 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\arch\libpcap.py:109(recv_raw)
       72    0.833    0.012    0.835    0.012 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\arch\libpcap.py:389(next)
       72    0.000    0.000    0.491    0.007 C:\Users\corys\source\repos\PcapAnalyzer\main.py:45(packet_handler)
       71    0.001    0.000    0.478    0.007 C:\Users\corys\source\repos\PcapAnalyzer\main.py:919(process_live_packet)
  597/528    0.472    0.001    0.473    0.001 {method 'call' of '_tkinter.tkapp' objects}
      142    0.000    0.000    0.430    0.003 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\tkinter\__init__.py:848(after)
      2/1    0.000    0.000    0.117    0.117 C:\Users\corys\source\repos\PcapAnalyzer\main.py:1822(main)
        1    0.000    0.000    0.117    0.117 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\tkinter\__init__.py:1503(mainloop)
        1    0.059    0.059    0.117    0.117 {method 'mainloop' of '_tkinter.tkapp' objects}
   574/72    0.002    0.000    0.088    0.001 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\base_classes.py:462(__call__)
   287/72    0.013    0.000    0.087    0.001 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:148(__init__)
   287/72    0.001    0.000    0.082    0.001 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:1080(dissect)
   287/72    0.001    0.000    0.080    0.001 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:1041(do_dissect_payload)
       71    0.000    0.000    0.059    0.001 C:\Users\corys\source\repos\PcapAnalyzer\main.py:566(decode_packet)
        1    0.000    0.000    0.058    0.058 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\tkinter\__init__.py:2386(destroy)
      211    0.038    0.000    0.053    0.000 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\site-packages\scapy\packet.py:1093(guess_payload_class)
        1    0.047    0.047    0.047    0.047 {built-in method _tkinter.create}
     64/7    0.000    0.000    0.044    0.006 C:\Users\corys\AppData\Local\Programs\Python\Python312\Lib\tkinter\__init__.py:2664(destroy)
